ticker,date,estimate,actual,surprise
RELIANCE.NS,2026-07-17,7.1,9.81,0.3816901408450706
RELIANCE.NS,2026-04-24,15.39,12.54,-0.18518518518518526
RELIANCE.NS,2026-01-16,14.89,13.78,-0.07454667562122237
RELIANCE.NS,2025-10-17,14.35,13.42,-0.06480836236933796
RELIANCE.NS,2025-07-18,7.6,13.23,0.7407894736842107
RELIANCE.NS,2025-04-25,6.4,8.29,0.2953124999999998
RELIANCE.NS,2025-01-16,13.39,13.7,0.023151605675877426
RELIANCE.NS,2024-10-14,5.85,5.7,-0.02564102564102555
RELIANCE.NS,2024-07-19,12.81,11.19,-0.12646370023419212
RELIANCE.NS,2024-04-22,14.93,14.01,-0.06162089752176825
RELIANCE.NS,2024-01-19,12.88,12.76,-0.00931677018633548
RELIANCE.NS,2023-10-27,13.41,12.86,-0.04101416853094711
RELIANCE.NS,2023-07-21,12.65,11.83,-0.06482213438735179
RELIANCE.NS,2023-04-21,13.38,14.26,0.0657698056801195
RELIANCE.NS,2023-01-20,12.71,11.67,-0.08182533438237614
RELIANCE.NS,2022-10-21,12.83,10.09,-0.21356196414653159
RELIANCE.NS,2022-07-22,19.64,13.27,-0.3243380855397149
RELIANCE.NS,2022-05-06,14.19,11.98,-0.15574348132487661
RELIANCE.NS,2022-01-21,8.6,7.61,-0.11511627906976737
RELIANCE.NS,2021-10-22,7.38,6.95,-0.05826558265582652
RELIANCE.NS,2021-07-23,5.25,6.53,0.24380952380952386
RELIANCE.NS,2021-04-30,8.6,5.8,-0.3255813953488372
RELIANCE.NS,2021-01-22,6.13,6.65,0.08482871125611753
RELIANCE.NS,2020-10-30,4.35,5.02,0.1540229885057471
TCS.NS,2026-07-08,37.33,38.28,0.025448700776855154
TCS.NS,2026-04-09,38.11,37.92,-0.004985568092364149
TCS.NS,2026-01-12,36.19,36.59,0.011052777010223976
TCS.NS,2025-10-09,34.71,35.74,0.029674445404782514
TCS.NS,2025-07-10,33.75,35.27,0.04503703703703713
TCS.NS,2025-04-10,35.09,33.79,-0.03704759190652619
TCS.NS,2025-01-09,34.22,34.21,-0.0002922267679718881
TCS.NS,2024-10-10,34.8,32.92,-0.054022988505747
TCS.NS,2024-07-11,33.09,33.28,0.005741915986702862
TCS.NS,2024-04-12,33.45,34.37,0.027503736920777115
TCS.NS,2024-01-11,31.7,32.25,0.01735015772870665
